Datetime,Datetime,Actual,Predicted,Error,Residual
2001-08-01 06:00:00,2001-08-01 06:00:00,25209.0,25103.2836432264,105.71635677359882,105.71635677359882
2001-08-01 07:00:00,2001-08-01 07:00:00,27414.0,27697.462802507813,-283.46280250781274,-283.46280250781274
2001-08-01 08:00:00,2001-08-01 08:00:00,30366.0,30553.35773510924,-187.357735109239,-187.357735109239
2001-08-01 09:00:00,2001-08-01 09:00:00,33161.0,33047.93063933129,113.06936066871276,113.06936066871276
2001-08-01 10:00:00,2001-08-01 10:00:00,35346.0,34713.761523503876,632.2384764961243,632.2384764961243
2001-08-01 11:00:00,2001-08-01 11:00:00,37121.0,37232.70496146751,-111.70496146751248,-111.70496146751248
2001-08-01 12:00:00,2001-08-01 12:00:00,39268.0,38521.592011184286,746.4079888157139,746.4079888157139
2001-08-01 13:00:00,2001-08-01 13:00:00,40325.0,40601.951072727185,-276.9510727271845,-276.9510727271845
2001-08-01 14:00:00,2001-08-01 14:00:00,41589.0,41375.36918715117,213.63081284883083,213.63081284883083
2001-08-01 15:00:00,2001-08-01 15:00:00,42385.0,42527.432395405995,-142.4323954059946,-142.4323954059946
2001-08-01 16:00:00,2001-08-01 16:00:00,42848.0,42841.065959577616,6.934040422383987,6.934040422383987
2001-08-01 17:00:00,2001-08-01 17:00:00,43358.0,43101.415426100604,256.58457389939576,256.58457389939576
2001-08-01 18:00:00,2001-08-01 18:00:00,43391.0,43235.20040105013,155.79959894986678,155.79959894986678
2001-08-01 19:00:00,2001-08-01 19:00:00,42312.0,42136.80269387558,175.19730612442072,175.19730612442072
2001-08-01 20:00:00,2001-08-01 20:00:00,40609.0,41240.10403593899,-631.1040359389881,-631.1040359389881
2001-08-01 21:00:00,2001-08-01 21:00:00,40072.0,40610.602584933964,-538.602584933964,-538.602584933964
2001-08-01 22:00:00,2001-08-01 22:00:00,39171.0,39216.11636307467,-45.11636307466688,-45.11636307466688
2001-08-01 23:00:00,2001-08-01 23:00:00,35878.0,36813.23575873286,-935.2357587328588,-935.2357587328588
2001-08-02 00:00:00,2001-08-02 00:00:00,32497.0,32760.931539156223,-263.93153915622315,-263.93153915622315
